"Тема","Вопрос из БЗ","Ответ из БЗ","Классификатор 1 уровня","Классификатор 2 уровня"
"Предоставление доступа к каналу в Студии RUTUBE ","Может ли один пользователь занимать сразу несколько ролей доступа в рамках студии одного канала?","Нет, действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Предоставление доступа к каналу в Студии RUTUBE ","Можно ли через настройки канала в Студии RUTUBE предоставить полный доступ к моей студии?","Нет, предоставление доступа даже самого высокого уровня не даёт всех возможностей, которые имеются у владельца канала. Недоступны следующие возможности: Удаление канала, Управление настройками доступа к студии.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Предоставление доступа к каналу в Студии RUTUBE ","Может ли пользователь, которому предоставлен доступ к студии канала, открывать доступ и назначать роли другим пользователям?","Нет, только владелец канала может управлять настройками доступа и назначать роли.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Предоставление доступа к каналу в Студии RUTUBE ","Можно ли отследить действия пользователей, которым выдали доступ к студии канала?","Такая функция еще не реализована, следите за нашими обновлениями. Мы рекомендуем выдавать доступы только тем пользователям, которым вы полностью доверяете.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Предоставление доступа к каналу в Студии RUTUBE ","Может ли пользователь, которому предоставили доступ к студии канала, самостоятельно отказаться от него?","Да, может. Для этого ему необходимо нажать на кнопку удаления напротив названия канала, к которому предоставлен доступ, в выпадающем меню своего профиля (вызывается нажатием на аватар в правом верхнем углу Студии) в Студии RUTUBE: https://studio.rutube.ru/","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Где посмотреть, к каким студиям мне предоставлен доступ?","Все предоставленные доступы пользователь может видеть в разделе ""Профили"" в меню Студии RUTUBE: https://studio.rutube.ru/. Все студии расположены в формате списка, с помощью которого можно перемещаться из одной студии в другую.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Могу ли я посмотреть, с какими студиями уже работает пользователь, которому я хочу предоставить доступ?","Такой возможности нет.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Предоставление доступа к каналу в Студии RUTUBE ","Какие бывают роли в доступах к студии канала?","Всего существуют пять ролей, каждая роль ограничена своим функционалом: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев 4. Пользователь с правами просмотра 5. Пользователь с ограниченными правами просмотра","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Какие возможности взаимодействия со Студией доступны пользователю с правами Редактора?","Пользователь с правами редактора может осуществлять от имени канала любые действия в Студии, кроме: Удаления канала, Управления настройками доступа к каналу. Обращаем внимание, что только редактор, как и владелец канала, может изменять банковские реквизиты, на которые приходят выплаты по монетизации.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Сколько пользователей можно назначить на роль Редактора?","Максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Может ли пользователь с правами Редактора создать трансляцию, если у Владельца канала не указан в профиле номер телефона?","Нет, Редактор не сможет создать трансляцию, так как наличие телефона владельца канала является обязательным условием для этого действия.","ПРЕДЛОЖЕНИЯ","Трансляция"
"Предоставление доступа к каналу в Студии RUTUBE ","Может ли пользователь с правами Редактора управлять подписками Владельца канала?","Нет, у пользователя с любым уровнем доступа нет возможности управлять подписками Владельца канала.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Предоставление доступа к каналу в Студии RUTUBE ","Какие возможности взаимодействия со Студией доступны пользователю в роли Редактора с ограниченными правами?","Пользователь с доступом Редактора с ограниченными правами имеет те же полномочия, что и Редактор, кроме доступа к разделу ""Монетизация"": https://studio.rutube.ru/monetization.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Сколько пользователей можно назначить на роль Редактора с ограниченными правами?","Максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Какие возможности взаимодействия со Студией доступны пользователю с правами Модератора комментариев?","Пользователю в этой роли доступен только раздел ""Комментарии"": https://studio.rutube.ru/comments, где он может размещать и модерировать комментарии от имени канала, ставить реакции и управлять комментариями других пользователей.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Сколько пользователей можно назначить на роль Модератора комментариев?","Максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с правами просмотра?","Пользователь с правами просмотра может: 1. Просматривать информацию внутри Студии без возможности вносить в неё изменения 2. Просматривать видео и плейлисты канала (в том числе неопубликованные) 3. Просматривать раздел ""Аналитика"": https://studio.rutube.ru/analytics 4. Просматривать раздел ""Трансляция"": https://studio.rutube.ru/streams 5. Просматривать раздел ""Монетизация"": https://studio.rutube.ru/monetization","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Скольким пользователям можно предоставить права доступа на роль Пользователя с правами просмотра?","Максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Какие возможности взаимодействия со Студией доступны пользователю в роли Пользователя с ограниченными правами просмотра?","Пользователь с ограниченными правами просмотра может просматривать информацию внутри Студии, но не имеет прав вносить изменения в ней. Обращаем внимание, что пользователю с таким уровнем доступа не доступен к просмотру раздел ""Монетизация"": https://studio.rutube.ru/monetization.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Скольким пользователям можно предоставить права доступа на роль Пользователя с ограниченными правами просмотра?","Максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Каким ролям в студии доступен функционал работы с комментариями?","Для работы с комментариями выделены 3 роли: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Предоставление доступа к каналу в Студии RUTUBE ","Как зрителям будут видны действия пользователей, которых назначили на роли?","Все действия в рамках предоставленного уровня доступа будут выполняться от имени владельца канала. Для пользователей разницы в отображении не будет.","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Shorts","Что такое Shorts на RUTUBE?","Shorts — короткие вертикальные видео длительностью до 60 секунд, которые публикуются в разделе Shorts: https://rutube.ru/feeds/shorts/","ВИДЕО","Воспроизведение видео"
"Shorts","Какие требования к Shorts?","Длительность до 60 секунд. Вертикальная ориентация. Высота больше ширины.","ВИДЕО","Загрузка видео"
"Shorts","Какая минимальная продолжительность роликов Shorts?","Минимальная продолжительность Shorts — от 1 секунды.","ВИДЕО","Загрузка видео"
"Shorts","Как загрузить видео в формате Shorts?","Shorts вы можете загрузить: На сайте RUTUBE — нажмите на значок загрузки со знаком «+» в правом верхнем углу страницы или перейдите по ссылке: https://studio.rutube.ru/uploader/. В мобильном приложении RUTUBE — нажмите на кнопку со знаком «+» в нижнем меню экрана. В мобильном приложении Студия RUTUBE на Android.","ВИДЕО","Загрузка видео"
"Shorts","Где расположен раздел Shorts?","На сайте RUTUBE — на главной странице и в правом боковом меню, а также в мобильном приложении RUTUBE — на главной странице и в нижнем меню.","ВИДЕО","Воспроизведение видео"
"Shorts","Как видео попадают в раздел Shorts на главной?","Алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы. Рекомендуем регулярно публиковать Shorts, чтобы увеличить шансы попадания видео в раздел.","СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА","Продвижение канала"
"Shorts","Нужно ли ставить хештег #Shorts в описании видео, чтобы оно попало в раздел Shorts на главной?","Нет, чтобы видео попало в раздел Shorts, ставить хештег в описании к нему необязательно.","ВИДЕО","Загрузка видео"
"Shorts","Как увеличить шансы на попадание моего видео в раздел Shorts на главной странице?","Рекомендуем регулярно публиковать контент на платформе. Обращайте внимание на оформление и мотивируйте свою аудиторию нажимать кнопку «В топ». Это даст возможность вашим видео попасть в рекомендации на главной странице.","СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА","Продвижение канала"
"Shorts","Есть ли ограничения на количество видео, размещаемых в разделе Shorts на главной?","Нет, ограничений на количество Shorts на главной нет. Однако алгоритм попадания видео в раздел Shorts работает по внутренним процессам платформы.","ВИДЕО","Загрузка видео"
"Shorts","Как часто обновляется подборка роликов Shorts на главной?","Ролики для раздела Shorts на главной подбираются с помощью системы рекомендаций. Обновление происходит автоматически в соответствии с внутренними алгоритмами платформы.","ВИДЕО","Система рекомендаций"
"Shorts","Где найти свои ролики Shorts?","Опубликованные ролики Shorts вы можете найти в Студии RUTUBE → «Видео» → вкладка Shorts: https://studio.rutube.ru/videos?#shorts","ВИДЕО","Загрузка видео"
"Shorts","Монетизируются ли ролики Shorts?","Да, Shorts монетизируются так же, как и другие видео на платформе, если вы соблюдаете правила RUTUBE: https://rutube.ru/info/adv_oferta/","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Shorts","Можно ли включить ролик Shorts в горизонтальном плеере?","Shorts автоматически открываются в вертикальном формате и на сайте, и в приложениях RUTUBE.","ВИДЕО","Воспроизведение видео"
"Smart TV","Что такое Smart TV?","Это телевизор или ТВ-приставка с доступом к интернету и возможностью скачивать сторонние приложения и сервисы. Приложение RUTUBE можно установить почти на любое устройство Smart TV.","ОТСУТСТВУЕТ","Отсутствует"
"Smart TV","Для каких телевизоров и ТВ-приставок доступно приложение RUTUBE?","Приложение RUTUBE доступно для телевизоров Samsung (с 2017 г. выпуска), LG (c 2014 г. выпуска), Sony, Xiaomi, Haier, BBK и других телевизоров и ТВ-приставок под управлением Android TV, телевизоров Hisense и других ТВ под управлением ОС Vidaa; Яндекс ТВ, Sber Devices, Philips, Apple TV. Подробнее","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Для каких телевизоров и ТВ-приставок доступно приложение RUTUBE Детям?","RUTUBE Детям пока недоступен в виде отдельного приложения. Сейчас детский контент расположен разделе «Детям» в основном приложении RUTUBE.","ПРЕДЛОЖЕНИЯ","Персонализация 0"
"Smart TV","Где можно скачать приложение RUTUBE для Smart TV?","Приложение можно скачать бесплатно из магазина приложений на вашем Smart TV.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Как установить приложение RUTUBE вручную, если его нет в магазине приложений?","Скачайте установочный файл .apk и запустите его на телевизоре. Файл подойдёт только для установки на устройства с Android TV версии 7.0 и выше.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Как установить RUTUBE на телевизоры LG, Samsung, Hisense, если приложения RUTUBE нет во встроенном магазине?","Пока никак, увы. Вы можете открыть приложение RUTUBE на смартфоне или планшете и транслировать экран устройства на телевизор с помощью AirPlay для iOS или Chromecast для Android.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Что делать, если производитель больше не поддерживает модель телевизора, а приложения RUTUBE нет в магазине приложений?","Рекомендуем приобрести приставку Smart TV на базе Android версии 7.0 или выше, подключить её к телевизору, скачать приложение и установить его на приставку. Подойдут приставки Яндекс ТВ, Sber Devises, Xiaomi Mi TV Stick или аналогичные — на них можно скачать RUTUBE из встроенного магазина приложений.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","В каких странах доступно приложение RUTUBE для Smart TV?","Приложение доступно в РФ и странах СНГ.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Где найти историю просмотра?","История просмотра находится разделе «Моё».","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Smart TV","Как очистить историю просмотра?","Нажмите «Очистить историю» на экране истории просмотра в разделе «Моё».","УПРАВЛЕНИЕ АККАУНТОМ","Персонализация"
"Smart TV","Как очистить историю поиска?","Нажмите на лупу, а потом на кнопку «Очистить» в верхнем правом углу экрана.","ПОИСК","История поиска"
"Smart TV","Не вижу раздел «Моё», что делать?","Обновите приложение до последней версии — возможно, проблема в этом. Раздел «Моё» есть на всех устройствах Android TV в версиях приложения с 28.2.1, Apple TV в версиях приложения с 10.2.18, Samsung, LG, Hisense и других в версиях приложения с 24.0.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Будет ли приложение работать без обновлений на старых моделях Smart TV?","Да, если производитель ТВ не удалит приложение. Если приложение перестанет работать, рекомендуем приобрести приставку Smart TV на базе Android TV версии 7.0 и выше.","ДОСТУП К RUTUBE","Приложение "
"Smart TV","Как отключить автовоспроизведение?","Пока никак, но совсем скоро мы это исправим.","ПРЕДЛОЖЕНИЯ","Плеер"
"Smart TV","Сколько телевизоров или ТВ-приставок может быть привязано к одному профилю RUTUBE?","До 5 устройств Smart TV.","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Smart TV","Как войти в профиль, если при сканировании QR-кода не открывается страница входа?","Перейдите по ссылке http://rutube.ru/activate/ с любого устройства и введите 6-значный код с экрана телевизора. Если возникнут проблемы, напишите на help@rutube.ru","УПРАВЛЕНИЕ АККАУНТОМ","Регистрация/Авторизация"
"Smart TV","Что делать, если видео недоступно только на ТВ. Ошибка «Этот контент доступен только на сайте rutube.ru»?","Это ошибка возникает на старых версиях приложения. Установите новую версию через магазин приложений или скачайте установочный файл.","ВИДЕО","Недоступность видео"
"Smart TV","В приложении RUTUBE для ТВ недоступны каналы СТС, Рен ТВ, Че, Домашний, что делать?","Некоторые прямые эфиры временно недоступны на ТВ, но совсем скоро мы это исправим. А пока рекомендуем смотреть эфиры на сайте https://rutube.ru.","ТРАНСЛЯЦИЯ","ТВ-эфиры"
"Smart TV","Как выбрать качество 4К в приложении RUTUBE на ТВ?","Сейчас воспроизведение видео в 4К есть только на приставках Apple TV, но очень скоро добавим такую возможность для остальных телевизоров и приставок.","ПРЕДЛОЖЕНИЯ","Плеер"
"Горячие клавиши","Какие горячие клавиши есть на RUTUBE?","Пробел (Space) или K: Приостановить или продолжить воспроизведение (pause или play)
Влево (←) или J: Перемотать ролик на 10 секунд назад
Вправо (→) или L: Перемотать ролик на 10 секунд вперед
SHIFT + Влево (←): Перейти к предыдущей временной метке
SHIFT + Вправо (→): Перейти к следующей временной метке
SHIFT + P: Перейти к предыдущему видео в плейлисте
SHIFT + N: Перейти к следующему видео в плейлисте
<: Уменьшить скорость воспроизведения
>: Увеличить скорость воспроизведения
0..9: Перейти к определенному моменту видео (например, при нажатии на цифру ""7"" ролик будет перемотан до временной отметки, которая соответствует 70% от длительности видео)
F: Включить или выключить полноэкранный режим
T: Включение или отключение режима «Широкий экран»
I: Включение или отключение режима мини плеера
ESC: Закрыть мини-проигрыватель или текущее диалоговое окно
M: Включить или отключить звук
Вверх (↑): Увеличение громкости или скролл вверх, если был клик в любую область кроме плеера
Вниз (↓): Уменьшение громкости или скролл вниз, если был клик в любую область кроме плеера
C: Включить или отключить субтитры","ВИДЕО","Управление плеером"
"Трансляции","Что такое трансляции (стримы) на RUTUBE?","Любой пользователь RUTUBE может вести трансляции в режиме реального времени или «стримить» видео. Для этого потребуется ноутбук или компьютер с веб-камерой. Трансляции появляются на личной странице стримера и в разделе всех трансляций на сайте RUTUBE (https://rutube.ru/feeds/stream/), где можно найти как авторские стримы, так и прямые эфиры телеканалов.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","В каких приложениях доступны прямые трансляции?","Прямые трансляции доступны из приложения RUTUBE для iOS, Android, Harmony OS, и в приложении Студия RUTUBE на Android.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Кому доступно проведение трансляций (стримов) на RUTUBE?","Проведение трансляций доступно для всех зарегистрированных пользователей с подтвержденным номером телефона (в данный момент только номера мобильных операторов РФ).","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Можно ли запускать несколько трансляций одновременно?","Да, в Студии RUTUBE можно проводить до 20 трансляций одновременно: https://studio.rutube.ru/create-stream","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Есть ли ограничения на одновременное проведение трансляций на RUTUBE и на других площадках (YouTube, Twitch и VK)?","Нет ограничений. Можно настроить ПО и другие стриминговые средства для одновременной трансляции на несколько площадок.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Есть ли реклама на трансляциях?","Да, реклама показывается зрителю один раз перед началом трансляции.","ТРАНСЛЯЦИЯ","Просмотр трансляции"
"Трансляции","Могут ли трансляции монетизироваться?","Да, монетизация возможна, при условии подключения к партнёрской программе. Подробнее о монетизации можно узнать в FAQ: https://rutube.ru/info/monetization","МОНЕТИЗАЦИЯ","Отключение/подключение монетизации"
"Трансляции","Что я могу и что не могу делать во время трансляции (стрима)?","Необходимо соблюдать условия Пользовательского соглашения: https://rutube.ru/info/agreement/. Модераторы могут заблокировать эфир за нарушения.","МОДЕРАЦИЯ","Отклонение/блокировка видео"
"Трансляции","Что такое приватная трансляция на RUTUBE?","Это трансляция, которую можно смотреть только по приглашению автора по специальной ссылке.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Будет ли приватная трансляция отображаться на личной странице (канале) пользователя и в разделе RUTUBE «Все трансляции»?","Нет, приватные трансляции не отображаются в этих разделах. Просмотр возможен только по ссылке от автора.","ТРАНСЛЯЦИЯ","Просмотр трансляции"
"Трансляции","Можно ли эмбедировать (встраивать) трансляции на сторонние сайты?","Да, эмбедирование возможно аналогично эмбедированию видео. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/","ВИДЕО","Встраивание видео"
"Трансляции","Можно ли эмбедировать (встраивать) приватные трансляции на сторонние сайты?","Да, эмбедирование приватных трансляций также возможно. Подробнее в FAQ: Embеd: https://rutube.ru/info/embed/","ВИДЕО","Встраивание видео"
"Трансляции","Рекомендации к потоку трансляции на RUTUBE","Качество: HD / FullHD / 2К / 4K* Кодек: H.264** Частота кадров: до 60 fps Битрейт видео: 4-6 mb/s Аудиокодек: MPEG 2 ACC-LC, Stereo Параметры аудио: bitrate 128 kbps, 44100 KHz Если стрим ведется с помощью OBS Studio, интервал ключевых кадров должен быть равен 1  * Трансляция в 2K и 4K возможна при разрешении 16:9 (4К - 3840×2160, 2К - 2560×1440) ** Поддерживается только H.264 видеокодек.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","С какой кадровой частотой могут идти трансляции на RUTUBE?","От 25 fps до 60 fps.","ТРАНСЛЯЦИЯ","Просмотр трансляции"
"Трансляции","Можно ли вести трансляции на RUTUBE, если подать поток в 60 FPS?","Да, можно.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Если в трансляцию подать поток 60 FPS, то сохранится ли запись трансляции с этой кадровой частотой?","Да, запись будет сохранена с кадровой частотой 60 fps.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Можно ли стримить на RUTUBE фильмы и сериалы?","Нет, трансляции фильмов или сериалов могут быть расценены как пиратские материалы (с п. 4.10 ГПС).","МОДЕРАЦИЯ","Отклонение/блокировка видео"
"Трансляции","Можно ли на RUTUBE стримить музыку?","Нет, трансляции музыкальных треков третьих лиц могут быть признаны пиратскими материалами, если это не свободная лицензия или общественное достояние.","МОДЕРАЦИЯ","Отклонение/блокировка видео"
"Трансляции","Можно ли выпивать на стримах (в пределах разумного) и можно ли вейпить?","Треш-стримы не должны нарушать правила размещения рекламы и пропагандировать деструктивное поведение. Трансляция должна иметь ограничение 18+. Участники должны быть совершеннолетними.","МОДЕРАЦИЯ","Отклонение/блокировка видео"
"Трансляции","Как присвоить трансляции (стриму) категорию 18+?","При создании трансляции можно отметить опцию «18+».","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Для каких трансляций необходима маркировка 18+?","Возрастное ограничение «18+» требуется для контента с драками, нецензурной лексикой, откровенным контентом, спариванием животных, операциями, охотой, информацией о табаке и алкоголе, самогоноварением, обзорами энергетических напитков, оправдывающими противоправное поведение, новостями трагических событий, и т.д.","МОДЕРАЦИЯ","Смена категории/возрастные ограничения"
"Трансляции","Как продвигаются стримы?","Все стримы автоматически попадают в раздел ""Все трансляции"" и популярные категории на RUTUBE. Также после завершения стрима он попадает в раздел «Недавние трансляции» и может попасть в «Новинки» в тематическом разделе при правильной категории.","СОТРУДНИЧЕСТВО ПРОДВИЖЕНИЕ РЕКЛАМА","Продвижение канала"
"Трансляции","Как создать трансляцию?","Установите программу для потокового вещания, авторизуйтесь на RUTUBE, нажмите кнопку запуска эфира или перейдите по ссылке: https://rutube.ru/create-stream/, подтвердите номер телефона, введите заголовок и описание, выберите категорию, настройте трансляцию и скопируйте данные «Ключ трансляции» и «URL трансляции» в программу для потокового вещания.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Можно ли запускать приватные трансляции на RUTUBE?","Да, можно.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Как запустить приватную трансляцию?","Создайте трансляцию через Студию (https://rutube.ru/create-stream/) или кнопку на сайте, введите название и тему, затем измените параметры доступа с «Открытый доступ» на «Доступ по прямой ссылке» в Студии (https://studio.rutube.ru/videos). После этого запустите трансляцию и разошлите ссылку зрителям.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Сохранится ли приватная трансляция?","Да, запись приватной трансляции сохраняется и доступна только по ссылке.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Сколько может длиться трансляция (стрима)?","Максимальная длительность трансляции составляет 24 часа. Запись трансляции также не может превышать 24 часов.","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Есть ли ограничения на перемотку трансляций (стримов)?","Да, перемотка доступна максимум на 1 час назад. Исключение – трансляции федеральных телеканалов, для которых перемотка недоступна.","ТРАНСЛЯЦИЯ","Просмотр трансляции"
"Трансляции","Есть ли реклама во время трансляции?","В прямом эфире рекламы нет. Однако реклама появится в записи трансляции так же, как и в других видео.","ТРАНСЛЯЦИЯ","Просмотр трансляции"
"Трансляции","С помощью каких программ допускается вести трансляции на RUTUBE?","Нет ограничений. Рекомендуются бесплатные ПО OBS Studio (https://obsproject.com/ru) и VMix (https://www.vmix.com/).","ТРАНСЛЯЦИЯ","Управление трансляцией"
"Трансляции","Можно ли скачать файл записи своей трансляции на RUTUBE по ее завершению?","Нет, возможность скачивания видео с RUTUBE, включая записи трансляций, отсутствует.","ПРЕДЛОЖЕНИЯ","Студия RUTUBE"
"Трансляции","По какой ссылке доступна запись трансляции?","Запись доступна по той же ссылке, что и трансляция, после конвертации.","ТРАНСЛЯЦИЯ","Просмотр трансляции"
"Трансляции","Можно ли открыть доступ к просмотру записи приватной трансляции для всех зрителей?","Да, запись приватной трансляции можно сделать публичной, отредактировав параметры доступа в Студии RUTUBE: https://studio.rutube.ru/videos","ВИДЕО","Загрузка видео"
"Трансляции","Как настроить OBS Studio для проведения трансляций на RUTUBE? ","Вывод 
1.1 ТРАНСЛЯЦИЯ

Управление битрейтом – CBR

Битрейт – 6000 Kbps

Интервал ключевых кадров – 1s (это обновление кадров)

Предустановка использования ЦП– Slower

Профиль – high

1.2 ЗАПИСЬ

Кодировщик видео – выбрать в соответствии с имеющейся видеокартой 

Для NVIDIA есть соответствующие кодеки:

-NVIDIA NVENC H.264

-NVIDIA NVENC HEVC

Для других видеоадаптеров можно выбрать любой другой

Управление битрейтом – CQP

Значение CQ – 15

Интервал ключевых кадров – 2 s

Предустановка – Медленное (хорошее качество)

Регулировка – Высокое качество

1.3 БУФЕР ПОВТОРНА НЕ МЕНЯЕМ



Аудио
2.1 ГЛОБАЛЬНЫЕ УСТРОЙСТВА АУДИО

Микрофон/дополнительный звук - тут добавляем микрофон, который подключен к ПК, он будет основным микрофоном на трансляции



2.2 ИЗМЕРИТЕЛИ

Скорость спада – быстро

Тип измерителя пиков – Упрощенный

Видео
3.1 Разрешение ставим, ориентируясь на разрешения вашего экрана ПК. Смотрим в настройках ПК разрешение экрана, выставляем такое же в первых двух полях – «Базовое разрешение» и «Разрешение выхода».

3.2 ФИЛЬТР МАСШАБИРОВАНИЯ

Всегда ставим – Метод Ланцоша (Четкое масштабирование, 36 выборок)

Важно – Фильтр нужно ставить тогда, когда базовое разрешение и разрешение выхода не совпадают.

3.3 ОБЩИЕ ЗНАЧЕНИЯ ЧАСТОТЫ КАДРОВ

Ставим 60 кадров, на 30 кадрах нет смысла вести трансляцию, по крайней мере, игры на 30 кадрах стримить - плохая идея. 30 кадров – мало, есть вероятность, что картинка будет не очень плавная.

3.4 ГОРЯЧИЕ КЛАВИШИ 

Настраиваем по желанию, но не желательно, если нет опыта, потому что можно случайно завершить трансляцию.

Пункты в разделе «Горячие клавиши» обновляются в зависимости от добавленных источников на главной странице ОБС. Например, добавляете устройство вывода «Камера», в Горячих клавишах появится пункт «Камера». Пункт добавляется с точно таким же названием как на главном экране.

Спец. Возможности 
Не трогаем.

Расширенные
5.1 ОБЩИЕ

Приоритет процесса – Выше среднего

5.2 АВТОМАТИЧЕСКОЕ ПЕРЕПОДКЛЮЧЕНИЕ

Ставим галочку в поле «Включить»

Задержка повтора – 1 s

Задержка потока – не трогаем, галочка не должна стоять

Макс. повторных попыток – 25 (оставляем стандартное значение)



После настройки всех настроек жмем «Применить», затем «Ок». Мы настроили программу, теперь нужно добавить Сцены и Источники.



СЦЕНЫ
Добавляем одну сцену. Называем ее, например, «Трансляция».

ИСТОЧНИКИ
Все источники добавляются на +. Добавляются любые по желанию, в зависимости от того, что вам нужно. Ниже описаны основные источники.

2.1 КАМЕРА

Нажимаем на +, выбираем «Устройство захвата видео», переименовываем на «Камера». Ставим галочку в поле «Сделать устройство видимым».

Выбираем камеру, ее настройки тут не трогаем. Нажимаем «Ок».

Камеру можно отзеркалить. Для этого ПКМ (правая кнопка мыши) нажимаем на Камера – Преобразовать – Отразить по горизонтали.

2.2 ФОН

Нажимаем на +, выбираем «Изображение». Можем назвать источник «Фон». Нажимаем на «Обзор», выбираем нужно изображение с вашего ПК, галочки не ставим.

2.3 ЗАХВАТ ОКНА

Источник захватывает только открытые приложения. Например, браузер.

2.4 ЗАХВАТ ЭКРАНА

Данный источник захватывает общую картинку вашего компьютера.

2.4 СБОР

Если у вас настроен донат через сайт донатов, можно добавить плашку на стрим, которая будет отображаться в режиме реального времени. Сбор удобен тем, что зрители видят потребность и цель. Зрители не всегда читают описание трансляции ","ТРАНСЛЯЦИЯ","Управление трансляцией"
